filename,site,day,month,year,date
20230528_092000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_093000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_094000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_095000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_100000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_101000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_102000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_103000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_104000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_105000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_110000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_111000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_112000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_113000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_114000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_115000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_120000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_121000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_122000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_123000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_124000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_125000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_130000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_131000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_132000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_133000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_134000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_135000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_140000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_141000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_142000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_143000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_144000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_145000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_150000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_151000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_152000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_153000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_154000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_155000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_160000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_161000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_162000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_163000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_164000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_165000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_170000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_171000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_172000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_173001.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_174000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_175000.WAV,PRIMAVERA,28,5,23,5/28/23
20230529_050000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_051000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_052000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_053000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_054000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_055000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_060000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_061000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_062000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_063000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_064000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_065000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_070000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_071000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_072000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_073000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_074000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_075000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_080000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_081000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_082000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_083000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_084000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_085000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_090000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_091000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_092000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_093000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_094000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_095000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_100000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_101000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_102000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_103000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_104000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_105000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_110000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_111000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_112000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_113000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_114000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_115000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_120000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_121000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_122000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_123000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_124000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_125000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_130000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_131000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_132000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_133000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_134000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_135000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_140000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_141000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_142000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_143000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_144000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_145000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_150000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_151000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_152000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_153000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_154000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_155000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_160000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_161000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_162000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_163000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_164000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_165000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_170000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_171000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_172000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_173000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_174000.WAV,PRIMAVERA,29,5,23,5/29/23
20230529_175000.WAV,PRIMAVERA,29,5,23,5/29/23
20230530_050000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_051000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_052000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_053000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_054000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_055000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_060000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_061000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_062000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_063000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_064000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_065000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_070000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_071000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_072000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_073000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_074000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_075000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_080000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_081000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_082000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_083000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_084000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_085000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_090000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_091000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_092000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_093000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_094000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_095000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_100000.WAV,PRIMAVERA,30,5,23,5/30/23
20230530_101000.WAV,PRIMAVERA,30,5,23,5/30/23
